Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Dec 11 00:44 2022
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'wave.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
                5470@0000418c: $ 6 <= 00000043
                5490@000031e0: $ 1 <= 00000000
                5506@00004180: $ 5 <= 000031e4
                5514@00004184: $ 4 <= 000031e8
                5518@00004188: $ 1 <= 00000003
                5522@0000418c: $ 6 <= 00000004
                5554@00004180: $ 5 <= 000031e8
                5562@00004184: $ 4 <= 000031ec
                5566@00004188: $ 1 <= 00000006
                5570@0000418c: $ 6 <= 00000007
                5606@00004180: $ 5 <= 000031f0
                5614@00004184: $ 4 <= 000031f4
                5618@00004188: $ 1 <= 00000009
                5622@0000418c: $ 6 <= 0000000a
                5654@00004180: $ 5 <= 000031f4
                5662@00004184: $ 4 <= 000031f8
                5666@00004188: $ 1 <= 0000000c
                5670@0000418c: $ 6 <= 0000000d
                5702@00004180: $ 5 <= 000031f8
                5710@00004184: $ 4 <= 000031fc
                5714@00004188: $ 1 <= 0000000f
                5718@0000418c: $ 6 <= 00000010
                5750@00004180: $ 5 <= 000031fc
                5758@00004184: $ 4 <= 00003200
                5762@00004188: $ 1 <= 00000012
                5766@0000418c: $ 6 <= 00000013
                5798@00004180: $ 5 <= 00003200
                5806@00004184: $ 4 <= 00003204
                5810@00004188: $ 1 <= 00000015
                5814@0000418c: $ 6 <= 00000016
                5846@00004180: $ 5 <= 00003204
                5854@00004184: $ 4 <= 00003208
                5858@00004188: $ 1 <= 00000018
                5862@0000418c: $ 6 <= 00000019
                5894@00004180: $ 5 <= 00003208
                5902@00004184: $ 4 <= 0000320c
                5906@00004188: $ 1 <= 0000001b
                5910@0000418c: $ 6 <= 0000001c
                5942@00004180: $ 5 <= 0000320c
                5950@00004184: $ 4 <= 00003210
                5954@00004188: $ 1 <= 0000001e
                5958@0000418c: $ 6 <= 0000001f
                5990@00004180: $ 5 <= 00003210
                5998@00004184: $ 4 <= 00003214
                6002@00004188: $ 1 <= 00000021
                6006@0000418c: $ 6 <= 00000022
                6038@00004180: $ 5 <= 00003214
                6046@00004184: $ 4 <= 00003218
                6050@00004188: $ 1 <= 00000024
                6054@0000418c: $ 6 <= 00000025
                6086@00004180: $ 5 <= 00003218
                6094@00004184: $ 4 <= 0000321c
                6098@00004188: $ 1 <= 00000027
                6102@0000418c: $ 6 <= 00000028
                6134@00004180: $ 5 <= 0000321c
                6142@00004184: $ 4 <= 00003220
                6146@00004188: $ 1 <= 0000002a
                6150@0000418c: $ 6 <= 0000002b
                6182@00004180: $ 5 <= 00003220
                6190@00004184: $ 4 <= 00003224
                6194@00004188: $ 1 <= 0000002d
                6198@0000418c: $ 6 <= 0000002e
                6230@00004180: $ 5 <= 00003224
                6238@00004184: $ 4 <= 00003228
                6242@00004188: $ 1 <= 00000030
                6246@0000418c: $ 6 <= 00000031
                6278@00004180: $ 5 <= 00003228
                6286@00004184: $ 4 <= 0000322c
                6290@00004188: $ 1 <= 00000033
                6294@0000418c: $ 6 <= 00000034
                6326@00004180: $ 5 <= 0000322c
                6334@00004184: $ 4 <= 00003230
                6338@00004188: $ 1 <= 00000036
                6342@0000418c: $ 6 <= 00000037
                6374@00004180: $ 5 <= 00003230
                6382@00004184: $ 4 <= 00003234
                6386@00004188: $ 1 <= 00000039
                6390@0000418c: $ 6 <= 0000003a
                6422@00004180: $ 5 <= 00003234
                6430@00004184: $ 4 <= 00003238
                6434@00004188: $ 1 <= 0000003c
                6438@0000418c: $ 6 <= 0000003d
                6470@00004180: $ 5 <= 00003238
                6478@00004184: $ 4 <= 0000323c
                6482@00004188: $ 1 <= 0000003f
                6486@0000418c: $ 6 <= 00000040
                6518@00004180: $ 5 <= 0000323c
                6526@00004184: $ 4 <= 00003240
                6530@00004188: $ 1 <= 00000042
                6534@0000418c: $ 6 <= 00000043
                6554@00003240: $ 1 <= 00000000
                6570@00004180: $ 5 <= 00003244
                6578@00004184: $ 4 <= 00003248
                6582@00004188: $ 1 <= 00000003
                6586@0000418c: $ 6 <= 00000004
